date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:52	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:54%20GMT	http://global.ahnlab.com/site/threat/viruscenter/virusList.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/threat/viruscenter/virusList.34.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:52	52000/52000	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:48%20GMT	http://global.ahnlab.com/site/support/productfaq/productFaqView.do?seq=457	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/productfaq/productFaqView00c8.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:52	52697/52697	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:49%20GMT	http://global.ahnlab.com/site/support/productfaq/productFaqView.do?seq=456	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/productfaq/productFaqViewbb09.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:54	2194/2194	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:58%20GMT	http://www.ahnlab.com/robots.txt		(from http://global.ahnlab.com/site/main.do)
17:31:00	52374/52374	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:56%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11527	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeView7140.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:02	70409/70409	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:56%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11572	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeViewb3fb.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:03	54657/54657	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:58%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=1613	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeView6de8.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:03	52457/52457	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:54%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11585	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeViewc0bb.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:04	2022/2022	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:06%20GMT	http://us.ahnlab.com/index.jsp	E:/projects/other/ahnlab/html/ahnlab/us.ahnlab.com/index-2.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:06	56367/56367	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:03%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11576	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeView1e14.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
